Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
net.sourceforge.atunes.gui.javafx.JavaFXDialog,113,16,45,18,1,29,0.9,0.84375,1,20,8
net.sourceforge.atunes.gui.javafx.JavaFXDialogController,11,3,4,1,0,1,0.5,0.333333333,1,3,1
net.sourceforge.atunes.gui.javafx.Property,20,5,10,2,0,5,0.5,0.4,0,5,2
net.sourceforge.atunes.gui.javafx.SpringFXMLLoader,24,2,10,9,0,8,0,0,0,6,1
net.sourceforge.atunes.gui.lookandfeel.AbstractLookAndFeel,204,48,72,30,1,24,0.964539007,0.944444444,2,52,3
net.sourceforge.atunes.gui.lookandfeel.ColumnSortIconGenerator,40,5,13,11,0,8,0.75,0.6,0,14,3
net.sourceforge.atunes.gui.lookandfeel.LookAndFeelListCellRenderer,16,2,5,6,1,3,1,0.5,0,3,2
net.sourceforge.atunes.gui.lookandfeel.LookAndFeelManager,210,19,76,19,1,57,0.907407407,0.859649123,0,54,9
net.sourceforge.atunes.gui.lookandfeel.LookAndFeelTableCellRenderer,20,2,5,7,1,3,1,0.5,0,3,2
net.sourceforge.atunes.gui.lookandfeel.LookAndFeelTableHeaderCellRenderer,22,3,6,7,1,3,0.833333333,0.555555556,0,3,3
net.sourceforge.atunes.gui.lookandfeel.LookAndFeelTreeCellRenderer,20,2,9,7,1,7,1,0.5,0,4,2
net.sourceforge.atunes.gui.lookandfeel.substance.AbstractButtonShaper,42,3,13,10,1,10,0,0,4,6,0
net.sourceforge.atunes.gui.lookandfeel.substance.AbstractButtonShaper.CustomSubstanceButtonBorder,10,2,4,4,1,2,0,0,0,2,0
net.sourceforge.atunes.gui.lookandfeel.substance.CircleButtonShaper,11,2,4,8,2,2,0,0,0,2,0
net.sourceforge.atunes.gui.lookandfeel.substance.CustomDarkGrayColorScheme,7,1,2,1,1,1,0,0,0,1,0
net.sourceforge.atunes.gui.lookandfeel.substance.CustomFontPolicy,10,2,3,5,1,1,0,0,0,2,1
